GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shop,ru.korchinskiy.controller,AdminOrderController,69,11,0,0,15,5,3,3,3,3
shop,ru.korchinskiy.controller,OrderController,78,15,2,0,16,7,2,4,1,4
shop,ru.korchinskiy.controller,CartController,65,11,0,0,13,5,4,3,4,3
shop,ru.korchinskiy.controller,ProfileController,108,11,4,0,20,4,7,3,5,3
shop,ru.korchinskiy.controller,AdminProductController,257,15,12,0,58,6,17,4,11,4
shop,ru.korchinskiy.controller,ProductController,12,7,0,0,3,3,1,2,1,2
shop,ru.korchinskiy.controller,AdminCategoryController,161,7,0,0,32,3,5,2,5,2
shop,ru.korchinskiy.controller,IndexController,49,15,2,0,13,6,5,4,4,4
shop,ru.korchinskiy.controller,AdminStatsController,83,7,0,0,14,3,4,2,4,2
shop,ru.korchinskiy.controller,CatalogController,86,11,0,0,18,5,2,3,2,3
shop,ru.korchinskiy.controller,ProductRestController,8,6,0,0,2,3,1,1,1,1
shop,ru.korchinskiy.validation,PhoneNumberValidator,5,3,0,0,2,1,2,1,2,1
shop,ru.korchinskiy.validation,FileValidator,8,3,2,0,2,1,3,1,2,1
shop,ru.korchinskiy.validation,PasswordMatchesValidator,10,3,0,0,3,1,2,1,2,1
shop,ru.korchinskiy.dao.impl,OrderHistoryDAOImpl,36,3,0,0,7,1,2,1,2,1
shop,ru.korchinskiy.dao.impl,UserDAOImpl,59,3,2,0,13,1,5,1,4,1
shop,ru.korchinskiy.dao.impl,CartDAOImpl,44,3,0,0,8,1,3,1,3,1
shop,ru.korchinskiy.dao.impl,CategoryDAOImpl,107,3,2,0,22,1,7,1,6,1
shop,ru.korchinskiy.dao.impl,CartProductDAOImpl,119,3,2,0,22,1,7,1,6,1
shop,ru.korchinskiy.dao.impl,OrderDAOImpl,65,3,0,0,13,1,4,1,4,1
